ticker,name,sector,close,setup_type,n_factors,weighted,rev_score,mom_score,tech,macro,funda,hits
4258.T,網屋,情報・通信業,4890.0,momentum,12,11.1,5.1,11.1,8,0,4,high_volatility;volume_surge;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
8995.T,誠建設工業,不動産業,2548.0,momentum,11,10.8,4.8,10.8,8,0,3,high_volatility;volume_surge;vol_expansion;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
3851.T,日本一ソフトウェア,情報・通信業,1393.0,momentum,11,10.8,4.8,10.8,8,0,3,high_volatility;volume_surge;vol_expansion;small_cap;revenue_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
7354.T,ダイレクトマーケティングミックス,サービス業,377.0,momentum,11,10.8,5.8,10.8,8,0,3,high_volatility;volume_surge;vol_expansion;small_cap;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4238.T,ミライアル,化学,1837.0,momentum,11,10.3,4.3,10.3,7,0,4,high_volatility;volume_surge;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
296A.T,令和アカウンティング・ホールディングス,サービス業,1161.0,momentum,11,10.1,4.1,10.1,7,0,4,high_volatility;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
5027.T,ＡｎｙＭｉｎｄ　Ｇｒｏｕｐ,情報・通信業,749.0,momentum,11,10.1,4.1,10.1,7,0,4,high_volatility;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
4440.T,ヴィッツ,情報・通信業,2624.0,momentum,11,9.9,5.1,9.9,7,0,4,high_volatility;volume_surge;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;near_highs;positive_rs;momentum_up
6570.T,共和コーポレーション,サービス業,3260.0,momentum,11,9.6,7.6,9.6,7,0,4,high_volatility;volume_surge;vol_expansion;small_cap;revenue_growth;earnings_growth;not_overvalued;uptrend_200;trend_aligned;positive_rs;momentum_up
6203.T,豊和工業,機械,2844.0,momentum,10,10.5,4.5,10.5,8,0,2,high_volatility;volume_surge;vol_expansion;small_cap;not_overvalued;uptrend_200;trend_aligned;near_highs;positive_rs;momentum_up
